1;Австралия;AU
2;Австрия;AT
3;Азербайджан;AZ
4;"Аландские о-ва";AX
5;Албания;AL
6;Алжир;DZ
7;"Американское Самоа";AS
8;Ангилья;AI
9;Ангола;AO
10;Андорра;AD
11;Антарктида;AQ
12;"Антигуа и Барбуда";AG
13;Аргентина;AR
14;Армения;AM
15;Аруба;AW
16;Афганистан;AF
17;Багамы;BS
18;Бангладеш;BD
19;Барбадос;BB
20;Бахрейн;BH
21;Беларусь;BY
22;Белиз;BZ
23;Бельгия;BE
24;Бенин;BJ
25;"Бермудские о-ва";BM
26;Болгария;BG
27;Боливия;BO
28;"Бонэй";BQ
29;"Босния и Герцеговина";BA
30;Ботсвана;BW
31;Бразилия;BR
32;"Британская территория в Индийском океане";IO
33;Бруней-Даруссалам;BN
34;Буркина-Фасо;BF
35;Бурунди;BI
36;Бутан;BT
37;Вануату;VU
38;Ватикан;VA
39;Великобритания;GB
40;Венгрия;HU
41;Венесуэла;VE
42;"Виргинские о-ва (Великобритания)";VG
43;"Виргинские о-ва (США)";VI
44;"Внешние малые о-ва (США)";UM
45;"Восточный Тимор";TL
46;Вьетнам;VN
47;Габон;GA
48;Гаити;HT
49;Гайана;GY
50;Гамбия;GM
51;Гана;GH
52;Гваделупа;GP
53;Гватемала;GT
54;Гвинея;GN
55;Гвинея-Бисау;GW
56;Германия;DE
57;Гернси;GG
58;Гибралтар;GI
59;Гондурас;HN
60;"Гонконг (САР)";HK
61;Гренада;GD
62;Гренландия;GL
63;Греция;GR
64;Грузия;GE
65;Гуам;GU
66;Дания;DK
67;Джерси;JE
68;Джибути;DJ
69;Доминика;DM
70;"Доминиканская Республика";DO
71;Египет;EG
72;Замбия;ZM
73;"Западная Сахара";EH
74;Зимбабве;ZW
75;Израиль;IL
76;Индия;IN
77;Индонезия;ID
78;Иордания;JO
79;Ирак;IQ
80;Иран;IR
81;Ирландия;IE
82;Исландия;IS
83;Испания;ES
84;Италия;IT
85;Йемен;YE
86;Кабо-Верде;CV
87;Казахстан;KZ
88;Камбоджа;KH
89;Камерун;CM
90;Канада;CA
91;Катар;QA
92;Кения;KE
93;Кипр;CY
94;Киргизия;KG
95;Кирибати;KI
96;Китай;CN
97;КНДР;KP
98;"Кокосовые о-ва";CC
99;Колумбия;CO
100;Коморы;KM
101;"Конго - Браззавиль";CG
102;"Конго - Киншаса";CD
103;Коста-Рика;CR
104;Кот-д’Ивуар;CI
105;Куба;CU
106;Кувейт;KW
107;Кюрасао;CW
108;Лаос;LA
109;Латвия;LV
110;Лесото;LS
111;Либерия;LR
112;Ливан;LB
113;Ливия;LY
114;Литва;LT
115;Лихтенштейн;LI
116;Люксембург;LU
117;Маврикий;MU
118;Мавритания;MR
119;Мадагаскар;MG
120;Майотта;YT
121;"Макао (САР)";MO
122;Малави;MW
123;Малайзия;MY
124;Мали;ML
125;Мальдивы;MV
126;Мальта;MT
127;Марокко;MA
128;Мартиника;MQ
129;"Маршалловы Острова";MH
130;Мексика;MX
131;Мозамбик;MZ
132;Молдова;MD
133;Монако;MC
134;Монголия;MN
135;Монтсеррат;MS
136;"Мьянма (Бирма)";MM
137;Намибия;NA
138;Науру;NR
139;Непал;NP
140;Нигер;NE
141;Нигерия;NG
142;Нидерланды;NL
143;Никарагуа;NI
144;Ниуэ;NU
145;"Новая Зеландия";NZ
146;"Новая Каледония";NC
147;Норвегия;NO
148;"о-в Буве";BV
149;"о-в Мэн";IM
150;"о-в Норфолк";NF
151;"о-в Рождества";CX
152;"о-в Св. Елены";SH
153;"о-ва Питкэрн";PN
154;"о-ва Тёркс и Кайкос";TC
155;"о-ва Херд и Макдональд";HM
156;ОАЭ;AE
157;Оман;OM
158;"Острова Кайман";KY
159;"Острова Кука";CK
160;Пакистан;PK
161;Палау;PW
162;"Палестинские территории";PS
163;Панама;PA
164;"Папуа — Новая Гвинея";PG
165;Парагвай;PY
166;Перу;PE
167;Польша;PL
168;Португалия;PT
169;Пуэрто-Рико;PR
170;"Республика Корея";KR
171;Реюньон;RE
172;Россия;RU
173;Руанда;RW
174;Румыния;RO
175;Сальвадор;SV
176;Самоа;WS
177;Сан-Марино;SM
178;"Сан-Томе и Принсипи";ST
179;"Саудовская Аравия";SA
180;"Северная Македония";MK
181;"Северные Марианские о-ва";MP
182;"Сейшельские Острова";SC
183;Сен-Бартелеми;BL
184;Сен-Мартен;MF
185;"Сен-Пьер и Микелон";PM
186;Сенегал;SN
187;"Сент-Винсент и Гренадины";VC
188;"Сент-Китс и Невис";KN
189;Сент-Люсия;LC
190;Сербия;RS
191;Сингапур;SG
192;Синт-Мартен;SX
193;Сирия;SY
194;Словакия;SK
195;Словения;SI
196;"Соединенные Штаты";US
197;"Соломоновы Острова";SB
198;Сомали;SO
199;Судан;SD
200;Суринам;SR
201;Сьерра-Леоне;SL
202;Таджикистан;TJ
203;Таиланд;TH
204;Тайвань;TW
205;Танзания;TZ
206;Того;TG
207;Токелау;TK
208;Тонга;TO
209;"Тринидад и Тобаго";TT
210;Тувалу;TV
211;Тунис;TN
212;Туркменистан;TM
213;Турция;TR
214;Уганда;UG
215;Узбекистан;UZ
216;Украина;UA
217;"Уоллис и Футуна";WF
218;Уругвай;UY
219;"Фарерские о-ва";FO
220;"Федеративные Штаты Микронезии";FM
221;Фиджи;FJ
222;Филиппины;PH
223;Финляндия;FI
224;"Фолклендские о-ва";FK
225;Франция;FR
226;"Французская Гвиана";GF
